co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio;percentil_risco_relativo;faixa_risco_relativo;meta_2025_pct;alfabetizacao_2024_pct;gap_previsto_meta_pp;situacao_meta
1504976;171;0.5088818524382586;0.5088818524382586;0.5088818524382586;1.0;0.3216374269005848;0;0.0;15;3.0;0.581;0.435;315.1;0.59;57.06;53.11;0.0518518518518518;1.0;0.2555555555555555;12045855.66;10426450.08;22472305.74;55.82;52.55;67.83625730994152;49.11181475617414;100.0;PA;Nova Ipixuna;Nova Ipixuna - PA;0.5867768595041323;Moderado;55.82;52.55;-6.708185243825859;Risco elevado de não atingir
3104007;1142;0.3435100829830764;0.3435100829830764;0.3435100829830764;0.0;0.14448336252189142;165;0.14448336252189142;31;3.0;0.772;0.709;883.88;0.48;6.45;17.65;0.7543554006968641;1.0;1.0;94784580.68;1568634.1;96353214.78;72.32;75.35000000000001;85.55166374781086;65.64899170169237;0.0;MG;Araxá;Araxá - MG;0.23553719008264462;Baixo;72.32;75.35000000000001;-6.671008298307626;Risco elevado de não atingir
2803302;214;0.5241850067873979;0.5241850067873979;0.5241850067873979;1.0;0.3317757009345794;0;0.0;28;3.0;0.621;0.544;296.93;0.5;47.7;34.39;0.868421052631579;1.0;0.3684210526315789;26731766.83;1155289.97;27887056.8;54.23;58.28;66.82242990654206;47.58149932126021;100.0;SE;Japaratuba;Japaratuba - SE;0.6301652892561983;Moderado;54.23;58.28;-6.6485006787397865;Risco elevado de não atingir
1702208;392;0.5766718303077819;0.5766718303077819;0.5766718303077819;1.0;0.36989795918367346;0;0.0;17;3.0;0.631;0.525;342.07;0.57;47.8;39.72;0.5320855614973262;1.0;0.3449197860962567;34780886.98;0.0;34780886.98;48.97;50.5;63.01020408163265;42.33281696922181;100.0;TO;Araguatins;Araguatins - TO;0.768595041322314;Alto;48.97;50.5;-6.637183030778189;Risco elevado de não atingir
1720804;106;0.5427323011795575;0.5427323011795575;0.5427323011795575;1.0;0.42452830188679247;0;0.0;17;3.0;0.604;0.526;245.11;0.56;58.75;47.1;0.8333333333333334;1.0;0.12;22753419.26;3005949.47;25759368.73;52.31;50.64;57.54716981132076;45.72676988204425;100.0;TO;Sítio Novo do Tocantins;Sítio Novo do Tocantins - TO;0.6859504132231405;Moderado;52.31;50.64;-6.58323011795575;Risco elevado de não atingir
5204508;1191;0.4086310528630054;0.4086310528630054;0.4086310528630054;0.0;0.3089840470193115;368;0.3089840470193115;52;3.0;0.733;0.64;794.78;0.49;8.62;27.53;0.7779661016949152;1.0;0.6347457627118644;83169827.69;0.0;83169827.69;65.72;62.940000000000005;69.10159529806886;59.13689471369946;0.0;GO;Caldas Novas;Caldas Novas - GO;0.36363636363636365;Baixo;65.72;62.940000000000005;-6.583105286300537;Risco elevado de não atingir
3144706;171;0.39681721112892077;0.39681721112892077;0.39681721112892077;0.0;0.21637426900584794;37;0.21637426900584794;31;3.0;0.709;0.639;532.58;0.47;22.11;25.9;0.7552083333333334;1.0;1.0;10487160.66;0.0;10487160.66;66.71;72.22;78.36257309941521;60.31827888710792;0.0;MG;Nova Era;Nova Era - MG;0.33264462809917356;Baixo;66.71;72.22;-6.391721112892071;Risco elevado de não atingir
2616308;307;0.4154211151900622;0.4154211151900622;0.4154211151900622;0.0;0.30293159609120524;93;0.30293159609120524;26;3.0;0.605;0.534;246.44;0.48;54.77;40.7;0.9121338912133892;1.0;1.0;26824082.76;8307293.25;35131376.01;64.81;68.15;69.70684039087948;58.45788848099378;0.0;PE;Vicência;Vicência - PE;0.38016528925619836;Baixo;64.81;68.15;-6.352111519006222;Risco elevado de não atingir
4206405;123;0.26338456117578113;0.26338456117578113;0.26338456117578113;0.0;0.21138211382113822;26;0.21138211382113822;42;3.0;0.751;0.646;873.67;0.47;10.53;30.61;1.0;1.0;1.0;10554645.01;0.0;10554645.01;80.0;83.69;78.86178861788618;73.66154388242188;0.0;SC;Guaraciaba;Guaraciaba - SC;0.10537190082644628;Baixo;80.0;83.69;-6.338456117578119;Risco elevado de não atingir
2925402;108;0.6324202518213637;0.6324202518213637;0.6324202518213637;1.0;0.6018518518518519;0;0.0;29;3.0;0.625;0.545;323.92;0.49;41.78;38.12;0.0;1.0;0.5825242718446602;9195541.64;6364965.11;15560506.75;42.98;27.54;39.81481481481482;36.75797481786363;100.0;BA;Potiraguá;Potiraguá - BA;0.8863636363636364;Alto;42.98;27.54;-6.22202518213637;Risco elevado de não atingir
