co_municipio;quantidade_alunos;probabilidade_risco_media;probabilidade_risco_mediana;probabilidade_risco_p90;taxa_alertas;taxa_nao_alfabetizado_real;falsos_negativos;taxa_falsos_negativos;co_uf;dependencia_predominante;atlas_idhm_median;atlas_idhm_e_median;atlas_renda_pc_median;atlas_indice_gini_median;atlas_prop_pobreza_criancas_median;atlas_taxa_criancas_dom_sem_fund_median;censo_prop_mat_2ano_internet_aprendizagem_median;censo_prop_mat_2ano_alimentacao_median;censo_prop_mat_2ano_biblioteca_sala_leitura_median;fundeb_receita_contribuicao_median;fundeb_complementacao_uniao_median;fundeb_receita_total_median;indicador_meta_final_2025_median;indicador_pc_aluno_alfabetizado_2024_median;taxa_alfabetizacao_real_pct;taxa_alfabetizacao_predita_prob_pct;taxa_alertas_pct;sg_uf;no_municipio;rotulo_municipio
3151305;105;0.2540371519595863;0.2540371519595863;0.2540371519595863;0.0;0.20952380952380953;22;0.20952380952380953;31;3.0;0.684;0.564;527.81;0.37;8.95;46.82;1.0;1.0;1.0;7163330.01;0.0;7163330.01;76.33;87.11;79.04761904761905;74.59628480404137;0.0;MG;Piraúba;Piraúba - MG
3151404;273;0.2782340157293692;0.2946314619726337;0.2946314619726337;0.0;0.32967032967032966;90;0.32967032967032966;31;2.0;0.725;0.617;669.0;0.47;14.17;35.37;0.82;1.0;0.9533333333333334;15165826.87;1162534.89;16328361.76;80.0;85.71000000000001;67.03296703296704;72.17659842706308;0.0;MG;Pitangui;Pitangui - MG
3152709;75;0.21137476176277992;0.21137476176277992;0.21137476176277992;0.0;0.06666666666666667;5;0.06666666666666667;31;3.0;0.689;0.574;485.2;0.48;24.45;39.99;0.1351351351351351;1.0;1.0;5173375.61;72550.24;5245925.85;75.29;93.22;93.33333333333333;78.86252382372201;0.0;MG;Prados;Prados - MG
3152808;325;0.5350582982811607;0.5350582982811607;0.5350582982811607;1.0;0.36923076923076925;0;0.0;31;3.0;0.695;0.536;782.28;0.51;6.64;38.41;0.4296875;1.0;0.7291666666666666;20501645.34;0.0;20501645.34;63.42;50.5;63.07692307692307;46.49417017188393;100.0;MG;Prata;Prata - MG
3153004;49;0.3747402008375138;0.3747402008375138;0.3747402008375138;0.0;0.061224489795918366;3;0.061224489795918366;31;3.0;0.721;0.607;663.39;0.52;14.45;24.99;0.0;1.0;1.0;2899491.2;0.0;2899491.2;80.0;52.8;93.87755102040816;62.525979916248616;0.0;MG;Pratinha;Pratinha - MG
3153202;22;0.38623589764722205;0.386235897647222;0.386235897647222;0.0;0.13636363636363635;3;0.13636363636363635;31;3.0;0.614;0.483;340.94;0.41;39.46;44.6;1.0;1.0;0.8333333333333334;2449473.94;28395.93;2477869.87;80.0;54.55;86.36363636363636;61.3764102352778;0.0;MG;Presidente Juscelino;Presidente Juscelino - MG
3153509;89;0.34614867749168376;0.34614867749168376;0.34614867749168376;0.0;0.1797752808988764;16;0.1797752808988764;31;3.0;0.66;0.554;486.73;0.51;36.75;45.4;1.0;1.0;0.0;4803956.57;230395.22;5034351.79;60.34;78.73;82.02247191011236;65.38513225083162;0.0;MG;Alto Jequitibá;Alto Jequitibá - MG
3153806;19;0.23566746272009076;0.23566746272009076;0.23566746272009076;0.0;0.0;0;0.0;31;3.0;0.682;0.575;513.72;0.46;18.59;25.94;1.0;1.0;1.0;912417.28;12791.65;925208.93;67.52;95.0;100.0;76.43325372799093;0.0;MG;Queluzito;Queluzito - MG
3154507;69;0.38262349162780196;0.38262349162780196;0.38262349162780196;0.0;0.2028985507246377;14;0.2028985507246377;31;3.0;0.627;0.547;255.57;0.44;52.71;36.98;0.0285714285714285;1.0;0.8857142857142857;9464876.56;0.0;9464876.56;71.49;70.0;79.71014492753623;61.7376508372198;0.0;MG;Riacho dos Machados;Riacho dos Machados - MG
3155009;24;0.2159929596681479;0.2159929596681479;0.2159929596681479;0.0;0.0;0;0.0;31;3.0;0.664;0.567;439.86;0.44;31.12;49.47;1.0;1.0;0.0;2158576.02;0.0;2158576.02;80.0;90.43;100.0;78.4007040331852;0.0;MG;Rio Doce;Rio Doce - MG
